sentence	label
turn on navigation to home	0
turn on navigation to home	0
turn on navigation to chicago	0
start navigation to office	0
start navigation to santa clara	0
activate navigation to nvidia headquarters	0
activate navigation to intel museum	0
enable navigation to golden gate bridge	0
switch on navigation to stanford	0
switch on navigation to nvidia santa clara office	0
drive me to new york	0
drive me to work	0
drive to 203, lincoln avenue	0
drive to nvidia	0
take me to san francisco	0
take me to 2788, san thomas express way, santa clara	0
can you navigate to san jose	0
can you drive me to home	0
can you drive me to chicago	0
can you turn on navigation to nvidia headquarters	0
can you turn on navigation to intel museum	0
can you take me to golden gate bridge	0
can you take me to santa clara convention centre	0
can you activate navigation to nvidia santa clara office	0
can you please enable navigation to new york	0
can you please enable navigation to work	0
please navigate me to san francisco	0
please take me to google	0
please take me to facebook	0
please enable navigation to 203, lincoln avenue	0
please enable navigation to nvidia	0
please drive me to london	0
please drive me to san jose	0
please start navigation to home	0
please start navigation to chicago	0
start navigation to office by car	0
start navigation to santa clara by car	0
activate navigation by bike to nvidia headquarters	0
activate navigation by bike to intel museum	0
turn on navigation to to nvidia headquarters by walking	0
turn on navigation to to intel museum by walking	0
guide me to golden gate bridge by foot	0
guide me to santa clara convention centre by foot	0
drive to stanford by car	0
drive to nvidia santa clara office by car	0
can you activate navigation by bike to new york	0
can you activate navigation by bike to work	0
can you start navigating to google by walking	0
can you start navigating to facebook by walking	0
can you take me to 203, lincoln avenue by foot	0
can you take me to nvidia by foot	0
can you turn on navigation by car to san francisco	0
can you turn on navigation by car to 2788, san thomas express way, santa clara	0
please switch on navigation to san jose by bike	0
please drive me to 203, lincoln avenue by bike	0
please drive me to nvidia by bike	0
please start navigation by walking to home	0
please start navigation by walking to chicago	0
please activate navigation to san francisco by bike	0
please activate navigation to 2788, san thomas express way, santa clara by bike	0
chicago	0
to office	0
to santa clara	0
facebook by walking	0
london on foot	0
san jose on foot	0
home	0
chicago	0
to office	0
to santa clara	0
google by walking	0
to london on foot	0
to san jose on foot	0
turn on navigation	1
activate navigation	1
start driving to it	1
enable driving mode	1
put on navigation mode	1
start navigating	1
begin navigating to it	1
guide me to it	1
drive me to it	1
enable the navigation	1
can you start navigation to it	1
can you activate navigation	1
can you enable navigating	1
can you start driving	1
please start navigation	1
please start driving to it	1
please enable navigation	1
please activate navigation mode	1
enable navigation mode by bike	1
turn on navigation by walking	1
please activate navigation by foot	1
start navigating by car	1
can you enable navigation by bike	1
can you turn on navigation by walking	1
please turn on navigation by walking	1
can you start navigation by bike	1
activate navigation by car	1
can you begin navigation by foot	1
turn on navigation to a coffee shop	1
turn on navigation to a restaurant	1
start navigation to a hotel	1
start navigation to a movie theatre	1
can you activate navigation to a hospital	1
can you activate navigation to a supermarket	1
please enable navigation to a railway station	1
please enable navigation to a police station	1
can you switch on navigation to a kfc	1
can you switch on navigation to a walmart	1
can you switch on navigation to a starbucks	1
drive me to a macdonald's	1
drive me to a domino's	1
navigate to a coffee shop	1
navigate to a restaurant	1
drive to a hotel by car	1
drive to a movie theatre by car	1
take me to a hospital	1
take me to a supermarket	1
can you please navigate to a railway station	1
can you please navigate to a police station	1
can you drive me to a kfc	1
can you drive me to a walmart	1
can you drive me to a starbucks	1
please take me to a macdonald's by bike	1
please take me to a domino's by bike	1
navigate to a coffee shop near home	1
navigate to a coffee shop near chicago	1
navigate to a restaurant near home	1
navigate to a restaurant near chicago	1
drive to a hotel near office	1
drive to a hotel near santa clara	1
drive to a movie theatre near office	1
drive to a movie theatre near santa clara	1
can you take me to a hospital near san francisco by walking	1
can you take me to a hospital near 2788, san thomas express way, santa clara by walking	1
can you take me to a supermarket near san francisco by walking	1
can you take me to a supermarket near 2788, san thomas express way, santa clara by walking	1
can you navigate me to a indian coffee shop	1
can you navigate me to a indian restaurant	1
can you navigate me to a chinese coffee shop	1
please drive me to a continental coffee shop	1
please drive me to a continental restaurant	1
please drive me to a american coffee shop	1
please drive me to a american restaurant	1
can you take me to a mexican coffee shop	1
can you take me to a mexican restaurant	1
can you take me to a italian coffee shop	1
can you take me to a italian restaurant	1
navigate to a japanese restaurant by foot	1
navigate to a greek coffee shop by foot	1
navigate to a greek restaurant by foot	1
enable navigation to the nearest railway station	1
enable navigation to the nearest police station	1
turn on navigation to the closest kfc	1
turn on navigation to the closest walmart	1
turn on navigation to the closest starbucks	1
can you start navigation to the cheapest hospital	1
can you start navigation to the cheapest supermarket	1
navigate me to the nearest coffee shop	1
navigate me to the nearest restaurant	1
drive to the closest hotel	1
drive to the closest movie theatre	1
can you please take me to the cheapest railway station	1
can you please take me to the cheapest police station	1
activate navigation to a french coffee shop	1
activate navigation to a french restaurant	1
activate navigation to a thai coffee shop	1
activate navigation to a thai restaurant	1
please start navigation by car to a spanish restaurant	1
please start navigation by car to a mediterranean coffee shop	1
please start navigation by car to a mediterranean restaurant	1
enable navigation to the nearest vietnamese coffee shop	1
enable navigation to the nearest vietnamese restaurant	1
enable navigation to the nearest european coffee shop	1
enable navigation to the nearest european restaurant	1
guide me to the closest indian coffee shop	1
guide me to the closest indian restaurant	1
guide me to the closest chinese coffee shop	1
guide me to the closest chinese restaurant	1
can you drive me to the cheapest continental restaurant	1
can you drive me to the cheapest american coffee shop	1
can you drive me to the cheapest american restaurant	1
turn on navigation by bike to the cheapest hotel closeby	1
turn on navigation by bike to the cheapest movie theatre closeby	1
can you switch on navigation to the cheapest hospital nearby	1
can you switch on navigation to the cheapest supermarket nearby	1
drive to the cheapest railway station closeby	1
drive to the cheapest police station closeby	1
can you navigate to the cheapest hotel nearby by walking	1
can you navigate to the cheapest movie theatre nearby by walking	1
activate navigation to a good macdonald's	1
activate navigation to a good domino's	1
start navigating to an expensive coffee shop	1
start navigating to an expensive restaurant	1
navigate to a cheap hotel	1
navigate to a cheap movie theatre	1
can you enable navigation to a kfc nearby	1
can you enable navigation to a walmart nearby	1
