sentence	label
do you ever get hurt	0
do you ever get hurt	0
can you breathe	0
can you masticate	0
can you yawn	0
can you pee	0
can you poop	0
can you throw up	0
can you vomit	0
can you yawn	0
can you pee	0
can you poop	0
can you vomit	0
do you ever pee	0
can you get hurt	0
do you sweat	0
do you have skin	0
do you have toes	0
do you masticate	0
do you pee	0
do you poop	0
do you ever get tired	0
do you sneeze	0
do you yawn	0
do you have a stomach	0
do you sleep	0
do you ever poop	0
do you ever sneeze	0
do you ever sweat	0
do you ever throw up	0
do you ever vomit	0
do you ever walk	0
do you ever yawn	0
do you get hurt	0
do you have legs	0
do you get zits	0
do you have a liver	0
do you have eyes	0
do you have fingers	0
do you have bowels	0
do you fart	0
do you ever chew	0
do you chew	0
do you crawl	0
do you dream	0
do you eat	0
do you ever masticate	0
do you ever burp	0
can you walk	0
do you ever crawl	0
do you ever cry	0
do you ever dream	0
do you ever eat	0
can you burp	0
can you cry	0
can you dream	0
can you get tired	0
can you sweat	0
do you have teeth	0
do you have hair	0
don't you ever masticate	0
don't you ever sleep	0
do you get tired	0
do you have arms	0
do you have fingernails	0
do you burp	0
do you cry	0
this is so boring	1
why are you so boring	1
talking to you is like watching paint dry	1
that is boring	1
that is not exciting	1
that is not fun	1
that is not very interesting	1
that is so dull	1
that is so uninteresting	1
this is not very interesting	1
lost the election because your speech was too boring	1
this is so dull	1
ugh so dull	1
ur basic	1
ur gonna bore me to death	1
ur so boring	1
wake me up when you have something interesting to say	1
watching paint dry is more entertaining than talking to you	1
are you trying to be dull	1
this is not fun	1
are you trying to bore me	1
basic af	1
be more fun	1
boring af	1
can you be less boring	1
cool story bro	1
could you be any less interesting	1
so dull	1
did you know that youre boring	1
why are you so boring	1
getting tired of you	1
good lord you are dull	1
holy crap you are boring	1
i am amazed that you are so boring	1
i couldnt be more bored with you	1
im falling asleep here	1
im not surprised that you are boring	1
im so bored of you	1
im so tired of you	1
listening to you is like listening to a ted talk from the color beige	1
were you made to be this boring	1
youre not entertaining	1
youre not exciting	1
youre not interesting	1
youre not very entertaining	1
youre not very exciting	1
youre pretty uneventful	1
youre quite uninteresting	1
youre no fun	1
youre making me fall asleep	1
youre so boring	1
youre so very dull	1
youre such a drag	1
youre such a snooze	1
youre super boring	1
youre the boringest	1
youre the king of boredom	1
youre the president of boring club	1
youre the queen of boredom	1
youre very boring	1
you could not be more dull	1
why are you so dull	1
yawn	1
you are crazy boring	1
you are crazy dull	1
you are dull	1
you are more boring than watching paint dry	1
you are the most boring bot ive ever talked to	1
youre no fun at all	1
youre very dull	1
you dont interest me at all	1
you honestly could not be more uninteresting	1
youre a real snooze	1
youre as entertaining as watching paint dry	1
youre basic	1
youre boring	1
youre boring me to death	1
youre dull	1
youre going to bore me to death	1
youre gonna bore me shitless	1
you bore me	1
that is so boring	1
this is not exciting	1
so boring	1
this is so uninteresting	1
u basic	1
ur blah	1
fun fact: you are boring	1
i'm tired of you	1
could you be any more boring	1
you're so blah	1
you're pretty boring	1
you're quite boring	1
you're so dull	1
you're the mayor of boringville	1
you're really boring	1
you are boring as sin	1
you are embarrassingly dull	1
you are making my eyes glaze over	1
you could not be more boring	1
you really know how to suck the fun out of the room	1
you're like a ted talk from the color beige	1
are you old	2
i bet youre old	2
how long ago were you born	2
do you have an age	2
do you have a birthday	2
are you younger than me	2
are you older than me	2
are you in your teens	2
are you an adult	2
are you a senior	2
are you a grown up	2
are you a baby	2
when were you born	2
whos younger you or me	2
whos older	2
whos older you or me	2
who is older me or you	2
which one of us is younger	2
i bet youre young	2
whens your birthday	2
in which year were you born	2
when is your birthday	2
whats your birthday	2
whats your age	2
what year were you born	2
what month is your birthday	2
what is your birthday	2
what is your age	2
what day is your birthday	2
whos younger	2
how long have you been around	2
what age are you	2
are you my age	2
are you a kid	2
are you young	2
which year were you born in	2
what month is your birthday in	2
please ask something about myself	3
is there anything i can tell you about myself	3
is there anything you want to know about me	3
is there something you want to know about me	3
please ask anything	3
please ask anything about me	3
please ask anything about myself	3
please ask me anything about me	3
please ask me anything about myself	3
please ask me something	3
please ask me something about myself	3
what can i tell you about me	3
what do you want me to teach you about	3
what do you want me to teach you about me	3
what do you want me to inform you who i am	3
what do you want me to inform you about me	3
please ask something	3
what can i tell you about	3
please ask something about me	3
what can i teach you about	3
what can i teach you about me	3
what can i inform you about	3
what can i inform you about me	3
what can i tell you who i am	3
can you ask anything about me	3
how about asking something about me	3
can you ask me something about me	3
can you ask me anything about myself	3
can you ask me anything	3
can you ask me something	3
can you ask anything about myself	3
can you ask me why im here	3
can you ask anything	3
ask me something	3
ask me about something	3
ask me about anything	3
ask me a question	3
can you ask me a question	3
what do you want me to tell you about	3
dont you want to know about me	3
dont you want to ask me something	3
dont you want to ask me anything	3
do you want me to tell you anything	3
could you ask me about something	3
can you ask something about myself	3
can you ask something about me	3
can you ask something	3
do you want to know anything about me	3
would you ask me something	3
any questions for me	3
just ask me a question	3
is there anything i can tell you about me	3
whats something you want to ask me	3
what questions do you have for me	3
do you have any questions for me	3
would you ask something about myself	3
would you ask something	3
what do you want me to teach you who i am	3
whats something you want to know about me	3
why dont you ask me questions	3
i want you to ask about me	3
i want you to ask me a question	3
what do you want to know about me	3
can you ask questions	3
got any questions for me	3
would you ask me anything about myself	3
why dont you ever ask me questions	3
now its your turn to ask questions	3
want to learn more about me	3
want to ask any questions about me	3
you have any questions for me	3
why do i have to ask all the questions	3
why am i the only one asking questions	3
what would you like to learn about me	3
what would you like to learn about	3
will you ask anything about me	3
what would you like to know about	3
will you ask anything about myself	3
what do you want to know about	3
what do you want to ask me about	3
what do you want me to tell you who i am	3
ask me questions	3
will you ask something	3
would you ask me anything	3
would you ask anything about myself	3
would you ask anything about me	3
would you ask anything	3
will you ask something about me	3
what do you want me to tell you about me	3
will you ask me something about myself	3
will you ask me something	3
will you ask me anything about myself	3
will you ask me anything	3
will you ask something about myself	3
