sentence	label
What will the weather be this year in Horseshoe Lake State Fish and Wildlife Area?	0
weather in Nationalpark Nevado Tres Cruces on mar. 4th, 2020	0
whats the weather in GA	0
what is the weather at my current location	0
What is the weather in Åland 4 seconds from now	0
Will it snowstorm neighboring the Rio Grande Wild and Scenic River on feb. the second?	0
How is the weather going to be in Pearblossom.	0
Will there be a snowstorm at my current place?	0
What will the weather be in Federated States Of Micronesia at 00:17 am	0
Will there be a blizzard here on dec. 26, 2027?	0
On may the thirteenth, 2037 what will it be like in Wilderville, Montenegro	0
What will the weather forecast be in Mount Victory, Delaware in 1 second?	0
What is the weather like in Hebbronville Venezuela	0
What's the weather next week in Somis	0
Is it foggy in Shelter Island	0
I need to know the weather for San Martin	0
Check the forecast for Fernwood, MT.	0
What is the predicted weather for Wells in Indiana?	0
What's the weather looking like right now in Croatia?	0
what is the weather forecast for Kinbrae	0
Tell me the forecast for Elderton, Indiana in 19 hours	0
what is the weather of Sri Lanka	0
What's the weather forecast in the same area as LA in 1 minute?	0
How is the weather in Birta?	0
What will the weather be next apr. in MT?	0
What is the temperate in Beltsville	0
What will the weather be like here next week?	0
What will the weather be in Nationalpark Rila on Nov. 25?	0
Will there be a blizzard in neighboring Niobrara Valley Preserve	0
What will the weather be this month in Wesley Hills?	0
What's the weather in Timbo?	0
show weather forcast here at 19	0
Weather for my nearby current location	0
Is there a blizzard coming tomorrow in Methuen Uganda	0
forecast for Laguna Heights Barbados	0
What will it be like feb. the twentieth in Colorado	0
What's the weather in GU on Jul. the 4th, 2024	0
Tell me the weather forecast 1 hour from now in Big Thicket National Preserve	0
I need a forecast for Jetmore, Massachusetts in 1 hour and 1 second from now	0
What are the weather conditions going to be like in Manhasset, Vermont on Dec. the 6th, 2036?	0
What is the weather in CT	0
Check the weather forecast for Sappho	0
What will the weather be like on September the eighteenth in Puerto Rico	0
show weather forecast in West Wildwood South Carolina	0
What is the forecast in Heber	0
What's the weather this month in Mozambique	0
What's the weather close to Cambodia at 05:44:13	0
Weather for East Peru Bolivia 3 years and a half from now	0
what is the weather like now in AK	0
what is the forecast starting at 8 pm for Alaska	0
What will the weather be in Peru?	0
What will the weather be in the current place 1 minute from now?	0
will there be fog Tonight at Beamer Memorial Conservation Area	0
What will the weather be like on feb. 8, 2034 in Cedar Mountain Wilderness	0
Tell me the forecast in the same area here on Robert E Lee's Birthday	0
What's the weather forecast for Elida, Rhode Island?	0
What will the weather be a nine in Willow River State Park?	0
What will the weather be here?	0
in 257 days what will the weather be like in Cannon Ball	0
What's the weather like in North Brunswick Township Virginia	0
What's the wather in Coleville, Kenya	0
What will the weather be like 1 minute from now within the same area of my current location	0
Will there be fog not far from Mexico on Apr. 27	0
what is the Bolsa Chica State Beach forecast for foggy conditions	0
What is the weather like right now in the same area as Georgia	0
Give me the weather forecast for here.	0
What's the weather in Niagara	0
When it comes to Dukes and the District Of Columbia, what will the weather be in one hour	0
What's the forecast for Missouri around elevenses?	0
What will the weather be like in Arizona on october the 3rd	0
what will the weather be within the same area of Weir Farm National Historic Site	0
Give me Slovakia's weather forecast for eight am	0
what is the forecast now in Duson	0
What is the weather like in Great Bay National Wildlife Refuge?	0
What is the weather like within walking distance of the Nationalpark Drawa	0
in 1 week is there going to be a depression in Washington	0
What is the weather like in Cameroon	0
Will there be fog on March 3, 2038 in Bonaire	0
What's the weather forecast close by Sligo?	0
What will the weather be in the Flight Park State Recreation Area?	0
What is the weather in twenty three minutes in NV	0
What is the forecast for Lesotho for starting this Fall	0
Will there be a snowstorm this weekend in Bear River, Arizona	0
Weather for jun. ninth, 2033 in San Pierre Romania	0
Tell me the weather forecast for Molino, Washington	0
What is the forcast now in Kansas	0
What's the weather in HI	0
forecast for Israel	0
What's the weather forecast for here in august?	0
What's the weather forecast for my current spot in eight hours?	0
What is the weather supposed to be like at Sunset in Cosby, Kansas	0
What's the weather forecast for Nishi Sonogi Hantō Prefectural Natural Park three years from now?	0
Tell me the weather forecast for here	0
Is there a storm in New Mexico in Fort Sumner	0
Check the weather forecast for Chisholm, Kentucky.	0
What's the weather in RI?	0
What's the weather look like for MH	0
What is the current weather forecast for Diamondville?	0
Tell me if it will storm at my current location	0
I want the weather for Saint Martin next year	0
What's the weather in South Punta Gorda Heights	0
weather forecast of Lakebay	0
What is the forecast for DE on 9/11/2035	0
What's the forecast for Emily, Florida for aug. 17th, 2020?	0
Will it be foggy at sunset in Red Devil	0
What is the expected weather forecast for Beckley?	0
what is the forecast for the current position	0
What will the weather be faraway from here 308 days from now	0
weather in Radnor Township, WV	0
